Lat,Lon,,
17.032,87.107,,
17.099,87.429,,
17.166,87.751,,
17.231,88.073,,
17.295,88.397,,
17.359,88.720,,
17.422,89.044,,
17.483,89.368,,
17.544,89.693,,
17.604,90.018,,
17.663,90.343,,
17.720,90.669,,
17.777,90.995,,
17.833,91.322,,
17.889,91.649,,
17.943,91.976,,
17.996,92.304,,
18.048,92.632,,
18.099,92.960,,
18.150,93.288,,
18.199,93.617,,
18.247,93.947,,
18.295,94.276,,
18.341,94.606,,
18.387,94.936,,
18.431,95.267,,
18.475,95.597,,
18.517,95.928,,
18.559,96.260,,
18.599,96.591,,
18.639,96.923,,
18.677,97.255,,
18.715,97.587,,
18.752,97.920,,
18.787,98.253,,
18.822,98.586,,
18.856,98.919,,
18.889,99.252,,
18.920,99.586,,
18.951,99.920,,
18.981,100.254,,
19.009,100.588,,
19.037,100.923,,
19.064,101.257,,
19.090,101.592,,
19.114,101.927,,
19.138,102.262,,
19.161,102.598,,
19.183,102.933,,
19.203,103.269,,
19.223,103.605,,
19.242,103.940,,
19.259,104.276,,
19.276,104.612,,
19.292,104.949,,
19.306,105.285,,
19.320,105.621,,
19.333,105.958,,
19.344,106.294,,
19.355,106.631,,
19.365,106.968,,
19.373,107.304,,
19.381,107.641,,
19.387,107.978,,
19.393,108.315,,
19.398,108.652,,
19.401,108.989,,
19.404,109.326,,
19.405,109.663,,
19.406,110.000,,
19.405,110.337,,
19.404,110.674,,
19.401,111.011,,
19.398,111.348,,
19.393,111.685,,
19.387,112.022,,
19.381,112.359,,
19.373,112.696,,
19.365,113.032,,
19.355,113.369,,
19.344,113.706,,
19.333,114.042,,
19.320,114.379,,
19.306,114.715,,
19.292,115.051,,
19.276,115.388,,
19.259,115.724,,
19.242,116.060,,
19.223,116.395,,
19.203,116.731,,
19.183,117.067,,
19.161,117.402,,
19.138,117.738,,
19.114,118.073,,
19.090,118.408,,
19.064,118.743,,
19.037,119.077,,
19.009,119.412,,
18.981,119.746,,
18.951,120.080,,
18.920,120.414,,
18.889,120.748,,
18.856,121.081,,
18.822,121.414,,
18.787,121.747,,
18.752,122.080,,
18.715,122.413,,
18.677,122.745,,
18.639,123.077,,
18.599,123.409,,
18.559,123.740,,
18.517,124.072,,
18.475,124.403,,
18.431,124.733,,
18.387,125.064,,
18.341,125.394,,
18.295,125.724,,
18.247,126.053,,
18.199,126.383,,
18.150,126.712,,
18.099,127.040,,
18.048,127.368,,
17.996,127.696,,
17.943,128.024,,
17.889,128.351,,
17.833,128.678,,
17.777,129.005,,
17.720,129.331,,
17.663,129.657,,
17.604,129.982,,
17.544,130.307,,
17.483,130.632,,
17.422,130.956,,
17.359,131.280,,
17.295,131.603,,
17.231,131.926,,
17.166,132.249,,
17.099,132.571,,
17.032,132.893,,
16.964,133.215,,
16.895,133.536,,
16.825,133.856,,
16.754,134.176,,
16.682,134.496,,
16.610,134.815,,
16.536,135.134,,
16.462,135.452,,
16.386,135.770,,
16.310,136.087,,
16.233,136.404,,
16.155,136.721,,
16.076,137.037,,
15.996,137.352,,
15.916,137.667,,
16.220,82.249,,
16.301,82.565,,
16.381,82.881,,
16.461,83.198,,
16.539,83.515,,
16.617,83.833,,
16.693,84.151,,
16.769,84.470,,
16.844,84.789,,
16.917,85.109,,
16.990,85.429,,
17.063,85.749,,
17.134,86.070,,
17.204,86.392,,
17.273,86.714,,
17.342,87.036,,
17.409,87.359,,
17.476,87.682,,
17.541,88.006,,
17.606,88.330,,
17.670,88.654,,
17.733,88.979,,
17.795,89.304,,
17.856,89.630,,
17.916,89.956,,
17.975,90.282,,
18.033,90.609,,
18.090,90.936,,
18.147,91.264,,
18.202,91.592,,
18.256,91.920,,
18.310,92.248,,
18.362,92.577,,
18.414,92.907,,
18.464,93.236,,
18.514,93.566,,
18.562,93.896,,
18.610,94.227,,
18.656,94.558,,
18.702,94.889,,
18.747,95.220,,
18.790,95.552,,
18.833,95.884,,
18.875,96.216,,
18.916,96.549,,
18.955,96.882,,
18.994,97.215,,
19.032,97.548,,
19.069,97.882,,
19.105,98.216,,
19.140,98.550,,
19.173,98.884,,
19.206,99.218,,
19.238,99.553,,
19.269,99.888,,
19.299,100.223,,
19.328,100.559,,
19.355,100.894,,
19.382,101.230,,
19.408,101.566,,
19.433,101.902,,
19.457,102.238,,
19.480,102.574,,
19.501,102.911,,
19.522,103.247,,
19.542,103.584,,
19.561,103.921,,
19.579,104.258,,
19.595,104.595,,
19.611,104.933,,
19.626,105.270,,
19.640,105.607,,
19.652,105.945,,
19.664,106.283,,
19.675,106.620,,
19.684,106.958,,
19.693,107.296,,
19.701,107.634,,
19.707,107.972,,
19.713,108.310,,
19.717,108.648,,
19.721,108.986,,
19.724,109.324,,
19.725,109.662,,
19.726,110.000,,
19.725,110.338,,
19.724,110.676,,
19.721,111.014,,
19.717,111.352,,
19.713,111.690,,
19.707,112.028,,
19.701,112.366,,
19.693,112.704,,
19.684,113.042,,
19.675,113.380,,
19.664,113.717,,
19.652,114.055,,
19.640,114.393,,
19.626,114.730,,
19.611,115.067,,
19.595,115.405,,
19.579,115.742,,
19.561,116.079,,
19.542,116.416,,
19.522,116.753,,
19.501,117.089,,
19.480,117.426,,
19.457,117.762,,
19.433,118.098,,
19.408,118.434,,
19.382,118.770,,
19.355,119.106,,
19.328,119.441,,
19.299,119.777,,
19.269,120.112,,
19.238,120.447,,
19.206,120.782,,
19.173,121.116,,
19.140,121.450,,
19.105,121.784,,
19.069,122.118,,
19.032,122.452,,
18.994,122.785,,
18.955,123.118,,
18.916,123.451,,
18.875,123.784,,
18.833,124.116,,
18.790,124.448,,
18.747,124.780,,
18.702,125.111,,
18.656,125.442,,
18.610,125.773,,
18.562,126.104,,
18.514,126.434,,
18.464,126.764,,
18.414,127.093,,
18.362,127.423,,
18.310,127.752,,
18.256,128.080,,
18.202,128.408,,
18.147,128.736,,
18.090,129.064,,
18.033,129.391,,
17.975,129.718,,
17.916,130.044,,
17.856,130.370,,
17.795,130.696,,
17.733,131.021,,
17.670,131.346,,
17.606,131.670,,
17.541,131.994,,
17.476,132.318,,
17.409,132.641,,
17.342,132.964,,
17.273,133.286,,
17.204,133.608,,
17.134,133.930,,
17.063,134.251,,
16.990,134.571,,
16.917,134.891,,
16.844,135.211,,
